Starters,Anthony Tolliver,Brandon Clarke,Bruno Caboclo,DaQuan Jeffries,Dakota Mathias,De'Anthony Melton,Desmond Bane,Dillon Brooks,Dusty Hannahs,Gorgui Dieng,Grayson Allen,Ja Morant,Jae Crowder,Jaren Jackson Jr.,Jarrett Culver,Jarrod Uthoff,John Konchar,Jon Teske,Jonas Valan훾i큰nas,Jontay Porter,Jordan Bell,Josh Jackson,Justise Winslow,Killian Tillie,Kyle Anderson,Marko Guduric,Sam Merrill,Santi Aldama,Sean McDermott,Shaq Buchanan,Shaquille Harrison,Solomon Hill,Steven Adams,Tim Frazier,Tyrell Terry,Tyus Jones,Xavier Sneed,Xavier Tillman Sr.,Yuta Watanabe,Yves Pons,Ziaire Williams
Anthony Tolliver,1.0,-0.01925353898280462,-0.03666050076879247,-0.012546958611535887,-0.012546958611535883,-0.05347459079150769,-0.1981548846378806,0.13651731865661698,-0.016860949924394474,0.323384683371886,0.10546322124379169,-0.007698223989940358,-0.07608234629638409,-0.1679909886338848,-0.05972386957133316,0.34676884162607136,0.015775619562978717,,0.18080451490571617,-0.026751267784098726,-0.01778025456494614,0.3697002640521741,-0.05259659950391972,-0.06772043375780733,-0.038945594495083086,0.015129284131140707,-0.025690865155461932,-0.047844056694847786,-0.03316273509733774,-0.012546958611535887,,-0.07508234107555979,-0.10672414980260447,-0.01778025456494613,-0.012546958611535887,-0.07372412857153247,,-0.13608516611156296,0.2168144483840252,-0.022505284265190825,-0.09944955350432236
Brandon Clarke,-0.01925353898280462,1.0,-0.11878112645024523,0.022879000461610403,0.022879000461610417,-0.04462448775070505,0.004695056844883685,-0.06212007047449848,-0.1155511387091888,0.03945261180729851,-0.0727272406713967,0.0694421925695678,0.020990782363530136,0.03976959910670739,-0.026921633057889346,-0.08598657616570202,-0.09232661671645012,,-0.05337774163047818,-0.04905195016217871,-0.12185129964393503,-0.14680003115521037,-0.02925336575028292,-0.1463457837109126,-0.11791761059759692,-0.0037326633876120863,-0.015568467871290318,-0.0405549109130627,-0.017332972685699236,-0.04639909375577018,,0.09065519639119164,-0.10506334726853288,0.02540934603479077,0.05256961226905929,-0.042994387633457906,,-0.16855650413159437,-0.1014452837674925,-0.09141849927513028,0.08817326412256422
Bruno Caboclo,-0.03666050076879247,-0.11878112645024523,1.0,-0.011877494020932093,-0.011877494020932104,-0.033499906699020456,-0.18758198941861431,0.058600106648619706,-0.0159613048958417,-0.0650521764995842,0.061080995104212894,-0.12672267317308963,0.3753820943112954,0.08046939857900534,-0.05653719962766359,-0.011877494020932088,-0.11561390325050067,,-0.0038717947750254327,-0.025323907808690153,-0.016831558453666393,-0.04724979466289208,-0.04979021733241337,-0.06410709335677205,-0.09789827163479954,0.48283180709102863,-0.02432008478899564,-0.0452912546318369,-0.03139328023878513,-0.011877494020932093,,0.34642740851256315,-0.10102969894266073,-0.016831558453666323,-0.011877494020932093,0.09424432341284567,,-0.12882410764801128,0.15704701122494433,-0.021304476054732117,-0.0941432512613797
DaQuan Jeffries,-0.012546958611535887,0.022879000461610403,-0.011877494020932093,1.0,1.0,-0.03420231669049863,-0.06419943558186271,0.03196850599035238,-0.005462714030483436,-0.02226393390745535,-0.03821078553694484,0.02151176646917269,-0.02464962546291907,0.0006583159891270151,0.050422226018962076,-0.004065040650406504,-0.03956855003565538,,-0.061797728914803986,-0.008667039906570598,-0.005760555989610789,-0.01617111620427014,-0.01704056908739667,0.1328966321473671,-0.08876669597142775,-0.02029529452047954,-0.008323484155359046,0.18753632825954952,-0.010744266433253062,-0.004065040650406502,,-0.024325637634543512,-0.0036331058161183484,-0.005760555989610798,-0.004065040650406502,0.08480606478455235,,-0.04408970725799719,-0.011047756798890656,-0.00729140010893491,0.16324940172566307
Dakota Mathias,-0.012546958611535883,0.022879000461610417,-0.011877494020932104,1.0,1.0,-0.034202316690498606,-0.06419943558186275,0.03196850599035238,-0.005462714030483438,-0.022263933907455357,-0.03821078553694483,0.021511766469172702,-0.024649625462919066,0.0006583159891270177,0.050422226018962034,-0.004065040650406504,-0.03956855003565541,,-0.06179772891480403,-0.008667039906570596,-0.005760555989610794,-0.016171116204270128,-0.01704056908739667,0.132896632147367,-0.08876669597142776,-0.02029529452047957,-0.008323484155359053,0.1875363282595496,-0.01074426643325306,-0.004065040650406503,,-0.024325637634543512,-0.003633105816118351,-0.005760555989610798,-0.004065040650406503,0.08480606478455238,,-0.04408970725799727,-0.011047756798890649,-0.00729140010893491,0.1632494017256631
De'Anthony Melton,-0.05347459079150769,-0.04462448775070505,-0.033499906699020456,-0.03420231669049863,-0.034202316690498606,1.0,0.0961677044401648,-0.13754914540107133,0.0043720421054846935,-0.016288183986611332,-0.17857381320273166,-0.12890699687716975,-0.13242720378109654,0.15649456184941216,0.13781700610125083,-0.07506312550574966,0.1420572411622549,,-0.2449332831000513,0.004296630651072278,-0.005040202377113051,0.018689083483115477,0.12390073428186263,0.032157575938441464,-0.12363642627373907,-0.17105474088078115,-0.04493218354581598,0.1339852981810871,-0.07447688904422559,-0.07506312550574964,,-0.061441379459743636,0.18901873723744686,0.0673394480384057,-0.07506312550574964,0.04840582901464589,,0.1206812099013122,-0.05593682085325323,0.11765197849303777,0.19354646986362944
Desmond Bane,-0.1981548846378806,0.004695056844883685,-0.18758198941861431,-0.06419943558186271,-0.06419943558186275,0.0961677044401648,1.0,-0.2856657888515852,-0.08627297674553111,-0.1302543919592039,-0.3019157199106242,-0.008720751924765584,-0.38929304233783424,0.06608035937087316,0.14672968415493814,-0.06419943558186272,0.17828344768350027,,-0.5252730893288354,-0.02898763793950662,-0.09097681301999987,-0.2553914271285425,-0.03643614550539387,0.15372216363840355,0.0382949567768188,-0.3205248274828846,0.06230620819369816,-0.025914553931837257,-0.08952073695645676,0.07496037651747987,,-0.38417628275142623,0.5085204314773499,-0.01209564473236506,0.13062430135721678,0.16419476394212082,,0.1898538437438246,-0.17447789872987865,-0.03163058727975746,0.30591693775303186
Dillon Brooks,0.13651731865661698,-0.06212007047449848,0.058600106648619706,0.03196850599035238,0.03196850599035238,-0.13754914540107133,-0.2856657888515852,1.0,0.024913971689605668,0.033173459465071546,0.20134820288468358,-0.2504882334135937,0.08400160462102396,-0.23447849542805835,-0.246059418294973,0.011825085123982422,-0.1969905481012707,,0.3435179535153973,-0.056778749018361455,-0.002272827835675919,0.004411931717917207,-0.015894832463274715,-0.09190604378820767,0.17018543652126913,0.01311389624566382,-0.10282246503343553,-0.09514664249346831,-0.00651440184070402,-0.08889201920786774,,0.15449561272717074,-0.3371802048648769,-0.011787886740963576,-0.08889201920786774,-0.10218216794124131,,-0.06004312913327928,0.0032445434936693687,-0.07328583439487141,-0.3790914405293464
Dusty Hannahs,-0.016860949924394474,-0.1155511387091888,-0.0159613048958417,-0.005462714030483436,-0.005462714030483438,0.0043720421054846935,-0.08627297674553111,0.024913971689605668,1.0,0.25113126474265823,-0.05134871019004168,-0.033726124382838604,-0.033124848296162614,-0.09926658655613232,-0.02600266967981551,-0.005462714030483437,0.06435517139192214,,0.030349512244947113,-0.011647007883094215,0.9482963172887249,0.19514172399586438,-0.022899587936921473,-0.029484226025825237,-0.016284435726601768,0.1804036735600249,-0.011185328164784668,-0.02083041857983756,-0.014438442328077155,-0.005462714030483436,,-0.03268946449364247,-0.046465723572410605,-0.0077411944268467444,-0.005462714030483436,0.018435471817576446,,-0.05924896775978951,0.12096969763498466,-0.00979838508452901,-0.04329849870978997
Gorgui Dieng,0.323384683371886,0.03945261180729851,-0.0650521764995842,-0.02226393390745535,-0.022263933907455357,-0.016288183986611332,-0.1302543919592039,0.033173459465071546,0.25113126474265823,1.0,-0.019404863650096964,-0.1297781432687427,-0.1350042175088899,-0.38539649836840856,-0.10597694038865382,0.03309705611074741,0.1340980047173468,,0.09447825921328612,-0.04746875129867877,0.2822573724134678,0.3578266294241083,0.06964205879792205,-0.0996770768703136,0.15219433889086445,0.026244115822240392,-0.045587121274207755,-0.08489682233742908,0.29758481653507446,-0.022263933907455354,,-0.13322975958383745,-0.18937652471013364,-0.031550148904431176,-0.022263933907455354,0.0729584139650886,,0.03268573285087431,0.1289568936187452,-0.03993447152906235,-0.1764681270495672
Grayson Allen,0.10546322124379169,-0.0727272406713967,0.061080995104212894,-0.03821078553694484,-0.03821078553694483,-0.17857381320273166,-0.3019157199106242,0.20134820288468358,-0.05134871019004168,-0.019404863650096964,1.0,-0.06228612253105022,0.03196839493877721,-0.3110488450063143,-0.18188439463954875,-0.038210785536944854,-0.15912380348597885,,0.3923488597708605,0.006074114142371516,-0.05414838089517506,-0.1386552688268117,0.05182186985812678,-0.07494293637270875,0.11567396550675996,-0.040352259763863176,-0.07823952952322348,-0.14570534949429254,0.1030684893640637,-0.03821078553694485,,0.08608644547354151,-0.325020088611012,0.01941955134414417,-0.03821078553694485,-0.1655794315753356,,0.17714990198234137,-0.01997673593354967,-0.0685380909533358,-0.30286587198946807
Ja Morant,-0.007698223989940358,0.0694421925695678,-0.12672267317308963,0.02151176646917269,0.021511766469172702,-0.12890699687716975,-0.008720751924765584,-0.2504882334135937,-0.033726124382838604,-0.1297781432687427,-0.06228612253105022,1.0,-0.0949142211995882,-0.025511128891334132,-0.11267363388896456,-0.03764559132105224,-0.20359565171256358,,-0.06625559540575623,-0.04847103064817703,-0.030484254854550915,-0.009184275943427427,-0.021531000140628094,-0.14198192660596393,0.004988104821110895,-0.11935119867137711,0.014095040144174793,-0.19885735227739268,-0.05940882419568664,0.1236926571977429,,-0.140004216638233,0.03604877413694291,-0.1371791468454794,2.5375537086587105e-17,-0.3520091940376121,,-0.15341922776510714,-0.06536551253831413,-0.13801672335793574,0.09579762219507279
Jae Crowder,-0.07608234629638409,0.020990782363530136,0.3753820943112954,-0.02464962546291907,-0.024649625462919066,-0.13242720378109654,-0.38929304233783424,0.08400160462102396,-0.033124848296162614,-0.1350042175088899,0.03196839493877721,-0.0949142211995882,1.0,0.2548115527333543,-0.11733289809181735,-0.024649625462919062,-0.23326248762481092,,0.160800217469496,-0.05255526474200801,-0.03493090471011207,-0.025538917616728378,-0.10333073683711398,-0.13304286560582154,-0.23443941990834286,0.4575166307340009,-0.05047200867613089,-0.09399394025818816,-0.06515116728956125,-0.02464962546291907,,0.4403019801532792,-0.20966916381344772,-0.034930904710111996,-0.02464962546291907,0.01986204695709893,,-0.26735151358712655,0.04714631179089394,-0.04421364931924107,-0.19537756696529007
Jaren Jackson Jr.,-0.1679909886338848,0.03976959910670739,0.08046939857900534,0.0006583159891270151,0.0006583159891270177,0.15649456184941216,0.06608035937087316,-0.23447849542805835,-0.09926658655613232,-0.38539649836840856,-0.3110488450063143,-0.025511128891334132,0.2548115527333543,1.0,0.12271750779057952,-0.07386853994662847,-0.040619123770377304,,-0.34464416731314845,-0.10824923072604728,-0.10467886961740543,-0.16848718374104987,-0.2597137037945088,0.015881812294925794,-0.4082075513888088,0.09889894181318623,0.03575219998278388,0.05868199586585201,-0.1952411654586055,0.02775899087485629,,0.24202054191001537,0.2422770243323358,-0.1046788696174054,0.0684100032034503,0.00913074061389698,,-0.27939436208781604,-0.08618505222172962,-0.010971703486952705,0.2545990572867622
Jarrett Culver,-0.05972386957133316,-0.026921633057889346,-0.05653719962766359,0.050422226018962076,0.050422226018962034,0.13781700610125083,0.14672968415493814,-0.246059418294973,-0.02600266967981551,-0.10597694038865382,-0.18188439463954875,-0.11267363388896456,-0.11733289809181735,0.12271750779057952,1.0,-0.019349705783187125,0.3238642294866292,,-0.29415889665237055,-0.04125534936200749,-0.0274204056324501,-0.07697495982163571,-0.08111357956192292,0.2248048255369304,-0.0993599123161494,-0.0966061625275846,0.20039051419552492,0.6175537722592371,-0.0511430050075465,-0.01934970578318712,,-0.11579070707934276,0.2369774461088396,-0.02742040563245015,-0.01934970578318712,0.07106418054401067,,0.12114233558289728,-0.05258762753119384,0.39850021388516493,0.2715869935222266
Jarrod Uthoff,0.34676884162607136,-0.08598657616570202,-0.011877494020932088,-0.004065040650406504,-0.004065040650406504,-0.07506312550574966,-0.06419943558186272,0.011825085123982422,-0.005462714030483437,0.03309705611074741,-0.038210785536944854,-0.03764559132105224,-0.024649625462919062,-0.07386853994662847,-0.019349705783187125,1.0,0.05882170357649444,,0.033987365924905644,-0.008667039906570606,-0.00576055598961079,0.3065978294486366,-0.01704056908739667,-0.021940481722442673,-0.01978282422016614,-0.020295294520479533,-0.008323484155359046,-0.01550081110222952,-0.010744266433253071,-0.004065040650406504,,-0.024325637634543488,-0.03457714500857461,-0.0057605559896108,-0.004065040650406504,0.025566534236519497,,-0.0440897072579972,0.29215179090399707,-0.007291400108934911,-0.03222027665638088
John Konchar,0.015775619562978717,-0.09232661671645012,-0.11561390325050067,-0.03956855003565538,-0.03956855003565541,0.1420572411622549,0.17828344768350027,-0.1969905481012707,0.06435517139192214,0.1340980047173468,-0.15912380348597885,-0.20359565171256358,-0.23326248762481092,-0.040619123770377304,0.3238642294866292,0.05882170357649444,1.0,,-0.28463584963842387,0.23030180015872098,0.08335604634674469,0.05378033996821043,0.05232627981389521,0.31394150552183037,0.026568870943826622,-0.11851986099009125,0.02105423570370912,0.40146801394475007,0.09323582437248376,-0.03956855003565537,,-0.22747086072296355,0.18144283364683347,0.11821317407977969,0.14081358158661927,0.03755933538605189,,0.36236843389459683,0.022448723481764785,0.2797260615509236,0.2096991037659155
Jon Teske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Valan훾i큰nas,0.18080451490571617,-0.05337774163047818,-0.0038717947750254327,-0.061797728914803986,-0.06179772891480403,-0.2449332831000513,-0.5252730893288354,0.3435179535153973,0.030349512244947113,0.09447825921328612,0.3923488597708605,-0.06625559540575623,0.160800217469496,-0.34464416731314845,-0.29415889665237055,0.033987365924905644,-0.28463584963842387,,1.0,-0.06280014590351526,0.01422919937970183,0.14895106631554408,0.05030954938081575,-0.2185413791347777,0.17284471355219028,0.11262409411135683,-0.12653561469504793,-0.2356470709239703,0.11023351524765038,-0.061797728914803986,,0.17798204795088565,-0.5256501023363895,-0.04879143401095029,-0.061797728914803986,-0.2065738187606051,,-0.14996236776996819,0.08978656426578766,-0.11084562396596766,-0.48982042090326944
